date,mvrv
2019-05-30,1.75787076
2019-05-31,1.81476063
2019-06-01,1.81246057
2019-06-02,1.8504971
2019-06-03,1.72701182
2019-06-04,1.62636908
2019-06-05,1.65612566
2019-06-06,1.651342
2019-06-07,1.70183629
2019-06-08,1.6835165
2019-06-09,1.61842434
2019-06-10,1.69111483
2019-06-11,1.67511723
2019-06-12,1.72008481
2019-06-13,1.73649236
2019-06-14,1.82901577
2019-06-15,1.85878621
2019-06-16,1.88896018
2019-06-17,1.9511578
2019-06-18,1.88755922
2019-06-19,1.93150882
2019-06-20,1.98086596
2019-06-21,2.08422475
2019-06-22,2.19688103
2019-06-23,2.2136737
2019-06-24,2.24706654
2019-06-25,2.37982686
2019-06-26,2.57176389
2019-06-27,2.21524309
2019-06-28,2.44168454
2019-06-29,2.35329242
2019-06-30,2.13021037
2019-07-01,2.07558255
2019-07-02,2.11000412
2019-07-03,2.33157806
2019-07-04,2.17425127
2019-07-05,2.13840364
2019-07-06,2.17712562
2019-07-07,2.22256119
2019-07-08,2.37905472
2019-07-09,2.41917807
2019-07-10,2.31328701
2019-07-11,2.15704038
2019-07-12,2.24857787
2019-07-13,2.15890911
2019-07-14,1.95875859
2019-07-15,2.07837284
2019-07-16,1.80452153
2019-07-17,1.84011447
2019-07-18,2.02312657
2019-07-19,1.9920017
2019-07-20,2.0519756
2019-07-21,1.99813946
2019-07-22,1.94697902
2019-07-23,1.86302934
2019-07-24,1.84274782
2019-07-25,1.86177246
2019-07-26,1.84937883
2019-07-27,1.7764295
2019-07-28,1.79184692
2019-07-29,1.75506806
2019-07-30,1.76975529
2019-07-31,1.85482085
2019-08-01,1.91516898
2019-08-02,1.93668955
2019-08-03,1.98633631
2019-08-04,2.0166431
2019-08-05,2.15209305
2019-08-06,2.07763358
2019-08-07,2.16935722
2019-08-08,2.15713659
2019-08-09,2.13982687
2019-08-10,2.03923311
2019-08-11,2.07768124
2019-08-12,2.04944243
2019-08-13,1.95417056
2019-08-14,1.8019476
2019-08-15,1.85280853
2019-08-16,1.86332594
2019-08-17,1.83353888
2019-08-18,1.85527013
2019-08-19,1.95283046
2019-08-20,1.92992501
2019-08-21,1.80967076
2019-08-22,1.81392145
2019-08-23,1.85888092
2019-08-24,1.81099778
2019-08-25,1.8021966
2019-08-26,1.8474094
2019-08-27,1.81156248
2019-08-28,1.73309226
2019-08-29,1.69107373
2019-08-30,1.70811556
2019-08-31,1.71310224
2019-09-01,1.7403943
2019-09-02,1.84745992
2019-09-03,1.88765943
2019-09-04,1.87870879
2019-09-05,1.8773914
2019-09-06,1.81873604
2019-09-07,1.84632204
2019-09-08,1.83013043
2019-09-09,1.81652807
2019-09-10,1.77328813
2019-09-11,1.77786135
2019-09-12,1.82231036
2019-09-13,1.81108514
2019-09-14,1.813611
2019-09-15,1.80307986
2019-09-16,1.79436332
2019-09-17,1.78283665
2019-09-18,1.77473473
2019-09-19,1.79282081
2019-09-20,1.77523927
2019-09-21,1.74318445
2019-09-22,1.7535283
2019-09-23,1.69241697
2019-09-24,1.5076985
2019-09-25,1.47778949
2019-09-26,1.42454001
2019-09-27,1.44132571
2019-09-28,1.44491153
2019-09-29,1.42120643
2019-09-30,1.45994759
2019-10-01,1.46687818
2019-10-02,1.47560342
2019-10-03,1.45721375
2019-10-04,1.44209083
2019-10-05,1.43793767
2019-10-06,1.38789488
2019-10-07,1.45350223
2019-10-08,1.44711351
2019-10-09,1.5187746
2019-10-10,1.51523934
2019-10-11,1.4650268
2019-10-12,1.47085893
2019-10-13,1.46532541
2019-10-14,1.46837588
2019-10-15,1.43701211
2019-10-16,1.41022441
2019-10-17,1.42275851
2019-10-18,1.40337963
2019-10-19,1.40147566
2019-10-20,1.4480022
2019-10-21,1.44819078
2019-10-22,1.41660892
2019-10-23,1.31849373
2019-10-24,1.32043974
2019-10-25,1.53033296
2019-10-26,1.63052996
2019-10-27,1.68313273
2019-10-28,1.63844571
2019-10-29,1.65571824
2019-10-30,1.61181743
2019-10-31,1.60646394
2019-11-01,1.62077063
2019-11-02,1.62876338
2019-11-03,1.61294847
2019-11-04,1.64848919
2019-11-05,1.63757092
2019-11-06,1.64148312
2019-11-07,1.61571232
2019-11-08,1.54350145
2019-11-09,1.54712396
2019-11-10,1.58742033
2019-11-11,1.52978275
2019-11-12,1.5426696
2019-11-13,1.5361222
2019-11-14,1.51523438
2019-11-15,1.48420069
2019-11-16,1.48640991
2019-11-17,1.4912036
2019-11-18,1.43585132
2019-11-19,1.42462588
2019-11-20,1.41836156
2019-11-21,1.33896278
2019-11-22,1.28344958
2019-11-23,1.29339001
2019-11-24,1.22636138
2019-11-25,1.26222308
2019-11-26,1.26841696
2019-11-27,1.33297166
2019-11-28,1.31736129
2019-11-29,1.37249236
2019-11-30,1.33947241
2019-12-01,1.31531292
2019-12-02,1.29871273
2019-12-03,1.29767248
2019-12-04,1.28246605
2019-12-05,1.31656246
2019-12-06,1.34019312
2019-12-07,1.33632666
2019-12-08,1.33937263
2019-12-09,1.30638835
2019-12-10,1.28784015
2019-12-11,1.28292787
2019-12-12,1.28218893
2019-12-13,1.29164777
2019-12-14,1.26106197
2019-12-15,1.26826677
2019-12-16,1.22841184
2019-12-17,1.18120445
2019-12-18,1.30300236
2019-12-19,1.27839546
2019-12-20,1.28507153
2019-12-21,1.27731542
2019-12-22,1.33772206
2019-12-23,1.30974111
2019-12-24,1.29430833
2019-12-25,1.28852354
2019-12-26,1.28945009
2019-12-27,1.29743017
2019-12-28,1.30991222
2019-12-29,1.32663778
2019-12-30,1.29751611
2019-12-31,1.28681852
2020-01-01,1.28743526
2020-01-02,1.24755453
2020-01-03,1.31328518
2020-01-04,1.31850725
2020-01-05,1.31891454
2020-01-06,1.39343235
2020-01-07,1.45871525
2020-01-08,1.44434936
2020-01-09,1.40023893
2020-01-10,1.45520178
2020-01-11,1.43755242
2020-01-12,1.46084233
2020-01-13,1.45276596
2020-01-14,1.57463765
2020-01-15,1.56868373
2020-01-16,1.55078627
2020-01-17,1.58368313
2020-01-18,1.58583813
2020-01-19,1.54314165
2020-01-20,1.53413892
2020-01-21,1.5503965
2020-01-22,1.53544323
2020-01-23,1.48547764
2020-01-24,1.49494018
2020-01-25,1.4807681
2020-01-26,1.52095733
2020-01-27,1.5779271
2020-01-28,1.64585254
2020-01-29,1.64528656
2020-01-30,1.67702648
2020-01-31,1.64732688
2020-02-01,1.650978
2020-02-02,1.64356756
2020-02-03,1.6319591
2020-02-04,1.61069803
2020-02-05,1.69086813
2020-02-06,1.70571675
2020-02-07,1.7097118
2020-02-08,1.72664271
2020-02-09,1.76640757
2020-02-10,1.71346985
2020-02-11,1.7792319
2020-02-12,1.79208365
2020-02-13,1.76851563
2020-02-14,1.7883096
2020-02-15,1.71075719
2020-02-16,1.71695434
2020-02-17,1.67061779
2020-02-18,1.75425426
2020-02-19,1.65794069
2020-02-20,1.65435215
2020-02-21,1.66881312
2020-02-22,1.66379813
2020-02-23,1.71384131
2020-02-24,1.65765413
2020-02-25,1.60369037
2020-02-26,1.51151916
2020-02-27,1.50901158
2020-02-28,1.50435395
2020-02-29,1.47581569
2020-03-01,1.46928146
2020-03-02,1.53109223
2020-03-03,1.50704354
2020-03-04,1.50859699
2020-03-05,1.56090164
2020-03-06,1.57478419
2020-03-07,1.53210003
2020-03-08,1.39731984
2020-03-09,1.36296685
2020-03-10,1.3667676
2020-03-11,1.37532279
2020-03-12,0.87746909
2020-03-13,1.00230839
2020-03-14,0.91943052
2020-03-15,0.9586443
2020-03-16,0.9005596
2020-03-17,0.97465625
2020-03-18,0.97098752
2020-03-19,1.11612479
2020-03-20,1.11275432
2020-03-21,1.11317824
2020-03-22,1.05120625
2020-03-23,1.16908967
2020-03-24,1.21902362
2020-03-25,1.20405859
2020-03-26,1.21539093
2020-03-27,1.168733
2020-03-28,1.12273873
2020-03-29,1.06488351
2020-03-30,1.16111925
2020-03-31,1.16086021
2020-04-01,1.20232747
2020-04-02,1.2293196
2020-04-03,1.22207588
2020-04-04,1.24154011
2020-04-05,1.22896481
2020-04-06,1.31870276
2020-04-07,1.29919781
2020-04-08,1.33180003
2020-04-09,1.3184332
2020-04-10,1.24393645
2020-04-11,1.24828502
2020-04-12,1.26554137
2020-04-13,1.24500204
2020-04-14,1.24727346
2020-04-15,1.20252464
2020-04-16,1.29329091
2020-04-17,1.28483033
2020-04-18,1.31739282
2020-04-19,1.29699559
2020-04-20,1.24397211
2020-04-21,1.2473842
2020-04-22,1.29301523
2020-04-23,1.35798226
2020-04-24,1.3603772
2020-04-25,1.36573263
2020-04-26,1.39182404
2020-04-27,1.40592618
2020-04-28,1.40416612
2020-04-29,1.57124906
2020-04-30,1.54783671
2020-05-01,1.58149669
2020-05-02,1.60183196
2020-05-03,1.58639791
2020-05-04,1.58241067
2020-05-05,1.59959352
2020-05-06,1.64574813
2020-05-07,1.76246608
2020-05-08,1.73504927
2020-05-09,1.68527866
2020-05-10,1.53444392
2020-05-11,1.51427708
2020-05-12,1.55398556
2020-05-13,1.64026769
2020-05-14,1.72149026
2020-05-15,1.63770129
2020-05-16,1.64923495
2020-05-17,1.69855053
2020-05-18,1.7030904
2020-05-19,1.70545218
2020-05-20,1.66337697
2020-05-21,1.58611169
2020-05-22,1.60231403
2020-05-23,1.60568496
2020-05-24,1.54008682
2020-05-25,1.55903037
2020-05-26,1.54624899
2020-05-27,1.60359036
2020-05-28,1.67222784
2020-05-29,1.64770853
2020-05-30,1.69215433
2020-05-31,1.64704955
2020-06-01,1.77456298
2020-06-02,1.65555855
2020-06-03,1.67699652
2020-06-04,1.70498933
2020-06-05,1.67491159
2020-06-06,1.67895972
2020-06-07,1.69210512
2020-06-08,1.6929366
2020-06-09,1.69357425
2020-06-10,1.71128591
2020-06-11,1.60651966
2020-06-12,1.63695561
2020-06-13,1.63756141
2020-06-14,1.61687359
2020-06-15,1.63326898
2020-06-16,1.64602728
2020-06-17,1.63347313
2020-06-18,1.61930293
2020-06-19,1.601515
2020-06-20,1.61343538
2020-06-21,1.6005863
2020-06-22,1.66795041
2020-06-23,1.65453862
2020-06-24,1.60043802
2020-06-25,1.59283584
2020-06-26,1.57369557
2020-06-27,1.5467905
2020-06-28,1.56486434
2020-06-29,1.57752462
2020-06-30,1.56990039
2020-07-01,1.5861884
2020-07-02,1.56106575
2020-07-03,1.5561961
2020-07-04,1.56620843
2020-07-05,1.55815127
2020-07-06,1.60183713
2020-07-07,1.58667765
2020-07-08,1.61561301
2020-07-09,1.58050888
2020-07-10,1.58940706
2020-07-11,1.58104284
2020-07-12,1.58969582
2020-07-13,1.58057885
2020-07-14,1.58381858
2020-07-15,1.57234112
2020-07-16,1.56130786
2020-07-17,1.56536628
2020-07-18,1.56854068
2020-07-19,1.57544863
2020-07-20,1.56656719
2020-07-21,1.6036542
2020-07-22,1.62670582
2020-07-23,1.6387837
2020-07-24,1.62771038
2020-07-25,1.6530963
2020-07-26,1.69125357
2020-07-27,1.87222939
2020-07-28,1.84950049
2020-07-29,1.87484925
2020-07-30,1.87475515
2020-07-31,1.90517626
2020-08-01,1.97908671
2020-08-02,1.8599879
2020-08-03,1.87772343
2020-08-04,1.87038652
2020-08-05,1.95126913
2020-08-06,1.95155359
2020-08-07,1.91764781
2020-08-08,1.93742923
2020-08-09,1.92470744
2020-08-10,1.95320633
2020-08-11,1.87194792
2020-08-12,1.89982911
2020-08-13,1.92924287
2020-08-14,1.9265623
2020-08-15,1.93989709
2020-08-16,1.94366153
2020-08-17,2.00437877
2020-08-18,1.95013602
2020-08-19,1.90751141
2020-08-20,1.92666487
2020-08-21,1.86965642
2020-08-22,1.89433444
2020-08-23,1.89095764
2020-08-24,1.90603293
2020-08-25,1.83853818
2020-08-26,1.8556766
2020-08-27,1.82960462
2020-08-28,1.86186629
2020-08-29,1.85563351
2020-08-30,1.88762446
2020-08-31,1.88187726
2020-09-01,1.92471346
2020-09-02,1.83478767
2020-09-03,1.65212902
2020-09-04,1.68560929
2020-09-05,1.63131545
2020-09-06,1.65140122
2020-09-07,1.67005527
2020-09-08,1.62894233
2020-09-09,1.64757745
2020-09-10,1.66531058
2020-09-11,1.67381361
2020-09-12,1.68190081
2020-09-13,1.66341746
2020-09-14,1.71735678
2020-09-15,1.7348274
2020-09-16,1.76292263
2020-09-17,1.75667708
2020-09-18,1.75269523
2020-09-19,1.77573693
2020-09-20,1.75066035
2020-09-21,1.67690819
2020-09-22,1.68568673
2020-09-23,1.64062817
2020-09-24,1.72053475
2020-09-25,1.71066582
2020-09-26,1.71935636
2020-09-27,1.72167524
2020-09-28,1.71621999
2020-09-29,1.73140353
2020-09-30,1.71995233
2020-10-01,1.69356781
2020-10-02,1.68748627
2020-10-03,1.68506329
2020-10-04,1.70216949
2020-10-05,1.71835152
